renewable energy generation percentage,non-renewable energy generation percentage,date
0.2611064430513315,0.7388935569486685,2016-10-03
0.2927800002588396,0.7072199997411603,2016-10-04
0.2546674254927761,0.7453325745072239,2016-10-05
0.21885513975861823,0.7811448602413817,2016-10-06
0.25719438290040136,0.7428056170995987,2016-10-07
0.3510810837857914,0.6489189162142086,2016-10-08
0.2656637924054259,0.7343362075945741,2016-10-09
0.25659396686053676,0.7434060331394632,2016-10-10
0.25641885734101116,0.7435811426589889,2016-10-11
0.20367576665155698,0.796324233348443,2016-10-12
0.30847798051441866,0.6915220194855813,2016-10-13
0.3545880185122744,0.6454119814877256,2016-10-14
0.30169453366645776,0.6983054663335422,2016-10-15
0.17994667658634741,0.8200533234136526,2016-10-16
0.2084613923711672,0.7915386076288328,2016-10-17
0.203463878889851,0.7965361211101489,2016-10-18
0.23349896644085344,0.7665010335591466,2016-10-19
0.21411719690596176,0.7858828030940382,2016-10-20
0.2487913663163306,0.7512086336836694,2016-10-21
0.400636498705697,0.599363501294303,2016-10-22
0.2530335400101768,0.7469664599898231,2016-10-23
0.21818485851981803,0.7818151414801819,2016-10-24
0.19613385319396018,0.8038661468060398,2016-10-25
0.25046464727953727,0.7495353527204627,2016-10-26
0.2363194515649262,0.7636805484350738,2016-10-27
0.2433392800004765,0.7566607199995234,2016-10-28
0.21456311823889904,0.7854368817611009,2016-10-29
0.2338734943366848,0.7661265056633152,2016-10-30
0.21895893270193312,0.7810410672980669,2016-10-31
0.1897469825470557,0.8102530174529443,2016-11-01
0.16991876834959083,0.8300812316504091,2016-11-02
0.22787669823868384,0.7721233017613162,2016-11-03
0.3961044588311474,0.6038955411688526,2016-11-04
0.3913804102584354,0.6086195897415646,2016-11-05
0.3256320217469398,0.6743679782530603,2016-11-06
0.41029456572946843,0.5897054342705316,2016-11-07
0.3970887910269033,0.6029112089730967,2016-11-08
0.30482629835268327,0.6951737016473167,2016-11-09
0.28481051995531936,0.7151894800446806,2016-11-10
0.22568641958671576,0.7743135804132842,2016-11-11
0.3525988656953335,0.6474011343046665,2016-11-12
0.41441091645126926,0.5855890835487307,2016-11-13
0.32897002421939386,0.6710299757806062,2016-11-14
0.20430097746240597,0.7956990225375941,2016-11-15
0.20562823589336426,0.7943717641066357,2016-11-16
0.267307484857365,0.732692515142635,2016-11-17
0.35076731266444516,0.6492326873355548,2016-11-18
0.49855983464269343,0.5014401653573066,2016-11-19
0.41289567115182213,0.5871043288481779,2016-11-20
0.1887467957469854,0.8112532042530146,2016-11-21
0.3027556896602489,0.6972443103397511,2016-11-22
0.2823359155410305,0.7176640844589695,2016-11-23
