Dates,energy price
2015-07-13,75.16708333333334
2015-07-14,72.27833333333334
2015-07-15,73.81041666666665
2015-07-16,75.01041666666666
2015-07-17,75.85916666666668
2015-07-18,70.29458333333334
2015-07-19,65.27916666666667
2015-07-20,76.11791666666669
2015-07-21,76.81083333333333
2015-07-22,75.41666666666666
2015-07-23,76.37166666666666
2015-07-24,71.11874999999999
2015-07-25,62.562083333333334
2015-07-26,58.91458333333335
2015-07-27,74.14625
2015-07-28,74.98874999999998
2015-07-29,73.09083333333334
2015-07-30,70.1575
2015-07-31,68.40041666666666
2015-08-01,62.12541666666667
2015-08-02,55.817083333333336
2015-08-03,69.51166666666667
2015-08-04,69.215
2015-08-05,69.13583333333332
2015-08-06,70.84708333333333
2015-08-07,69.67374999999998
2015-08-08,63.20541666666667
